company_name,company_linkedin_url,job_title,time_posted,num_applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,197 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,70 applicants
Rohde & Schwarz,https://de.linkedin.com/company/rohde-schwarz,"Entry Level Software Engineer - Hillsboro, Oregon",,55 applicants
Rohde & Schwarz,https://de.linkedin.com/company/rohde-schwarz,"Entry Level Software Engineer - Hillsboro, Oregon",,55 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Developer – AI Code Quality Specialist,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,35 applicants
DW SISTERS LLC,https://www.linkedin.com/company/dwsistersllc,Data Engineer,,62 applicants
Nelson Motors and Equipment,https://ca.linkedin.com/company/nelsonmotorsandequipment,Submit Your Resume,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Clerk,,73 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,39 applicants
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Data Engineer, Web Scraping",,55 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - IaC, Kubernetes, Rancher",,0
Ledgent Technology,https://www.linkedin.com/company/ledgent-technology,Mid Unix (Linux) Engineer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Full-Stack Software Engineer II,,62 applicants
Sports Trading Firm,https://www.linkedin.com/company/sports-trading-firm,"Co-founder, Software Engineer - Prediction Markets",,0
DW SISTERS LLC,https://www.linkedin.com/company/dwsistersllc,AI System Engineer,,26 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - Java, AWS, Databases",,0
Mercor,https://www.linkedin.com/company/mercor-ai,Senior Software Engineer | Upto $100/hr - AI Trainer,,0
Southern Trust Insurance Company,https://www.linkedin.com/company/southern-trust-insurance,Data Engineer,,49 applicants
Spaceium Inc. (YC S24),https://www.linkedin.com/company/spaceium-inc,AI Engineer,,25 applicants
Prolific,https://uk.linkedin.com/company/prolific-com,"Python - Senior Developers - AI Training - Boston, USA",,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,116 applicants
Baseten,https://www.linkedin.com/company/baseten,Software Engineer - Voice Agent,,0
Nood,https://www.linkedin.com/company/trynood,Head of Digital,,62 applicants
El Puerto de Liverpool,https://mx.linkedin.com/company/elpuertodeliverpool,DESARROLLADOR DE PRODUCTO JR.,,0
Avid Technology Professionals,https://www.linkedin.com/company/avid-technology-professionals,Software Engineer 3,,0
Intelligible AI,https://www.linkedin.com/company/intelligibleai,Senior Member of Technical Staff,,0
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - Java, Spring, AWS",,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Engineer,,37 applicants
Mistplay,https://ca.linkedin.com/company/mistplay,"Senior / Staff Engineer, Data Platform",,0
Mercor,https://www.linkedin.com/company/mercor-ai,Senior Software Developer | Upto $100/hr - AI Trainer,,0
Mistplay,https://ca.linkedin.com/company/mistplay,"Senior / Staff Platform Engineer, ML & Data",,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Python - Senior Developers - AI Training - Portland, USA",,0
